,0,1,2
0,81.8168698,214.678218,sphere
1,29.26798017,111.7660625,sphere
2,68.59716213,678.1347536,sphere
3,66.37670388,229.2685863,fiber
4,39.48811168,318.4785589,fiber
5,84.91342009,370.4730351,sphere
6,12.92048622,505.3240908,sphere
7,55.0682448,122.862705,sphere
8,64.31012048,335.7729184,film
9,41.47507982,1000,film
10,2.76986222,301.2042366,sphere
11,61.0318203,1000,sphere
12,85.94990799,256.2166956,fiber
13,80.58095275,715.2636482,fiber
14,1.961333699,379.5691319,film
15,71.5584801,200.2693122,sphere
16,60.99814059,221.1828401,fiber
17,49.17024044,401.1568101,film
18,42.42224571,361.920418,film
19,35.90520403,237.3073746,fiber
20,20.29550692,316.6296787,fiber
21,98.45146093,152.5161977,fiber
22,11.81616503,116.9128698,film
23,31.00069234,233.2355791,film
24,89.45484536,184.8260921,fiber
25,12.09183845,302.7288266,sphere
26,99.65514539,221.5773478,fiber
27,6.890202929,111.5333438,sphere
28,22.09981808,461.0142983,sphere
29,25.7788404,169.9331824,sphere
30,33.9785305,319.8027333,sphere
31,85.13215443,330.6633132,fiber
32,89.89804492,849.0992851,sphere
33,52.19880785,1000,sphere
34,67.0099833,513.1713827,sphere
35,55.44820327,533.6134433,sphere
36,65.1162895,314.393536,fiber
37,55.36888769,702.7396534,fiber
38,71.690867,381.5861283,fiber
39,47.2403286,234.6458245,fiber
40,46.58249436,216.1336207,sphere
41,27.1510638,1000,film
42,47.06343049,243.3371488,sphere
43,42.61009276,264.3750965,film
44,87.32254966,357.7486943,film
45,96.86442238,284.9756425,fiber
46,9.01878337,155.439121,sphere
47,4.043507818,251.2207839,fiber
48,90.65324501,152.2113126,film
49,57.28705072,246.8947495,film
50,62.41082178,297.8802247,fiber
51,45.61630035,690.991346,film
52,52.74713333,149.901923,film
53,64.83334959,290.6117271,fiber
54,7.824104848,342.0877002,fiber
55,11.22680818,299.7557643,fiber
56,53.32320661,389.8394957,fiber
57,55.16867787,420.5273517,film
58,8.323387479,335.9674738,sphere
59,66.88209238,160.417821,sphere
60,18.79859388,136.8418888,film
61,76.59321243,442.1052966,fiber
62,1.735391605,490.9498192,film
63,48.10723375,179.9426933,fiber
64,54.58377299,657.0278709,sphere
65,26.3137423,279.0230127,fiber
66,55.01045158,203.7291199,film
67,85.11216589,111.533234,sphere
68,91.9587628,1000,sphere
69,51.50683382,614.5402972,fiber
70,5.976833532,275.1162336,sphere
71,33.75462558,1000,fiber
72,60.05684223,593.0777883,sphere
73,74.89273274,192.7710152,fiber
74,6.749966127,263.9924592,sphere
75,63.74682302,1000,fiber
76,54.47973322,526.110697,sphere
77,57.3407386,727.8949275,sphere
78,77.2308867,213.0163208,sphere
79,64.33671511,238.5752495,fiber
80,71.32205151,271.2227932,fiber
81,6.5159019,166.7985003,sphere
82,39.10982562,214.2978278,fiber
83,48.23933527,1000,film
84,81.01596384,525.5578567,sphere
85,44.03049474,416.1044616,sphere
86,33.89677317,150.2032937,fiber
87,11.1494441,250.7905637,film
88,75.1212709,297.2860852,fiber
89,66.53248931,306.648676,sphere
90,49.96508082,282.8295755,film
91,60.11427858,227.9911822,film
92,35.60457734,150.6253546,fiber
93,15.62158718,197.0724002,fiber
94,5.859297343,376.6922476,sphere
95,79.99076402,277.5563989,sphere
96,79.38694508,328.2773439,sphere
97,33.2713925,273.8317064,fiber
98,54.97909959,260.3471364,fiber
99,13.19787357,334.2098032,film
100,30.75865098,111.5997488,fiber
101,17.355191,145.047199,sphere
102,72.76876443,506.9106751,fiber
103,0.3800882555,257.2270785,fiber
104,58.33676144,510.6313659,sphere
105,33.63929221,295.6467978,film
106,40.69424852,618.7768576,sphere
107,49.98924387,1000,sphere
108,8.807844465,342.7262807,sphere
109,49.64488284,314.0195051,film
110,10.0997753,1000,film
111,34.08281094,555.4101029,sphere
112,25.47056455,393.0279884,sphere
113,70.9662212,348.6993558,film
114,71.43993225,1000,film
115,80.47917162,137.3750728,film
116,34.50274311,169.2920435,fiber
117,85.29807427,427.9777533,film
118,88.69373604,185.3241138,fiber
119,66.19413152,280.4891594,film
120,4.317758719,429.2037118,film
121,81.74001779,461.7308161,sphere
122,46.00669087,119.6274856,fiber
123,45.77446403,253.4227245,film
124,36.27237485,659.5740875,sphere
125,46.95732952,545.4770802,sphere
126,17.08667335,113.92706,sphere
127,57.15566647,384.5640137,fiber
128,33.20358069,369.2570031,fiber
129,51.51572517,292.1490811,sphere
130,33.54285461,1000,sphere
131,59.09865004,135.263249,sphere
132,17.93097007,355.7632317,film
133,87.41233923,767.1894979,film
134,34.49827872,454.1880973,sphere
135,34.54788076,148.5477641,fiber
136,42.53863823,279.9337873,fiber
137,14.93182634,151.2904627,sphere
138,79.81819664,312.448908,fiber
139,39.68554803,220.0209508,sphere
140,58.0382029,132.4652846,film
141,82.6013208,263.5718703,film
142,65.93017745,128.5600805,fiber
143,33.27764021,319.606844,fiber
144,52.65921507,234.2849458,film
145,52.34957271,389.6415895,sphere
146,73.37573449,355.763062,sphere
147,19.04814483,705.1136504,film
